sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,delta_mu,n1_prop
900,0.05,0,0,20,0,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1000,0.05,0,0,20,0,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1100,0.05,1e-4,4.4721359549995795e-4,20,1e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1200,0.05,1e-4,4.4721359549995795e-4,20,1e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
900,0.07,3.0000000000000003e-4,7.326950970650465e-4,20,1.6383560438182506e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1000,0.07,3.0000000000000003e-4,7.326950970650465e-4,20,1.6383560438182506e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1100,0.07,3.0000000000000003e-4,9.787209698591858e-4,20,2.1884866196096621e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1200,0.07,2e-4,6.155870112510924e-4,20,1.3764944032233705e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
900,0.1,0.0028,0.005042973224930747,20,0.0011276430939656486,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1000,0.1,0.0048000000000000004,0.005596991673164583,20,0.0012515253850696293,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1100,0.1,0.0086,0.006021015826166492,20,0.0013463400680910334,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1200,0.1,0.0219,0.010207840124139876,20,0.0022825424421026655,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
900,0.15,0.3004,0.06250423143570698,20,0.013976371037162007,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1000,0.15,0.3962857142857143,0.0684873293808007,21,0.014945160525375823,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1100,0.15,0.4993,0.0647530531692278,20,0.014479222863705156,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1200,0.15,0.6183,0.060601459075712544,20,0.013550898202896481,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
900,0.18,0.6708,0.044087950376730516,20,0.009858365403100689,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1000,0.18,0.8047,0.04813697561181665,20,0.010763754969927156,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1100,0.18,0.8721,0.033210492951855804,20,0.007426091980662722,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1200,0.18,0.9238,0.026635156822278468,20,0.005955802124598193,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
900,0.2,0.8792,0.03474054206770378,20,0.0077682213638576745,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1000,0.2,0.9318,0.021303817300637608,20,0.004763678366446176,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
1100,0.2,0.9673999999999999,0.015232928321998969,20,0.0034061863224371497,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,500,NA,NA
